NOMBRE INSTITUCION EDUCATIVA ;AMIE;CORREO ELECTRONICO ;TELEFONO 
UNIDAD EDUCATIVA JOSE ANTONIO GARCIA CANDO;24H00219;24h00219josegarcia@gmail.com;042538485
UNIDAD EDUCATIVA JOSE ANTONIO GARCIA CANDO;24H00219;24h00219josegarcia@gmail.com;042538485
UNIDAD EDUCATIVA JOSE ANTONIO GARCIA CANDO;24H00219;24h00219josegarcia@gmail.com;042538485
UNIDAD EDUCATIVA JOSE ANTONIO GARCIA CANDO;24H00219;24h00219josegarcia@gmail.com;042538485
UNIDAD EDUCATIVA JOSE ANTONIO GARCIA CANDO;24H00219;24h00219josegarcia@gmail.com;042538485
UNIDAD EDUCATIVA JOSE ANTONIO GARCIA CANDO;24H00219;24h00219josegarcia@gmail.com;042538485
UNIDAD EDUCATIVA JOSE ANTONIO GARCIA CANDO;24H00219;24h00219josegarcia@gmail.com;042538485
UNIDAD EDUCATIVA JOSE ANTONIO GARCIA CANDO;24H00219;24h00219josegarcia@gmail.com;042538485
UNIDAD EDUCATIVA JOSE ANTONIO GARCIA CANDO;24H00219;24h00219josegarcia@gmail.com;042538485
UNIDAD EDUCATIVA SIMON BOLIVAR;24H00337;24h00337simonbolivar@gmail.com;042902607
UNIDAD EDUCATIVA SIMON BOLIVAR;24H00337;24h00337simonbolivar@gmail.com;042902607
UNIDAD EDUCATIVA SIMON BOLIVAR;24H00337;24h00337simonbolivar@gmail.com;042902607
UNIDAD EDUCATIVA SIMON BOLIVAR;24H00337;24h00337simonbolivar@gmail.com;042902607
UNIDAD EDUCATIVA SIMON BOLIVAR;24H00337;24h00337simonbolivar@gmail.com;042902607
UNIDAD EDUCATIVA SIMON BOLIVAR;24H00337;24h00337simonbolivar@gmail.com;042902607
UNIDAD EDUCATIVA SALINAS SIGLO XXI;24H00325;24h00325salinassigloxxi@gmail.com;0980418073
UNIDAD EDUCATIVA SALINAS SIGLO XXI;24H00325;24h00325salinassigloxxi@gmail.com;0980418073
UNIDAD EDUCATIVA SALINAS SIGLO XXI;24H00325;24h00325salinassigloxxi@gmail.com;0980418073
UNIDAD EDUCATIVA SALINAS SIGLO XXI;24H00325;24h00325salinassigloxxi@gmail.com;0980418073
